"case_no","m","N","alpha","indep_bio","prev_mode","distr","strategy","single","est","het_var"
"1","2, 3, 4, 5, 6, 7, 8","500","0.025","TRUE","random","t","equal","FALSE","MLE","FALSE"
"2","2, 3, 4, 5, 6, 7, 8","500","0.025","FALSE","random","t","equal","FALSE","MLE","FALSE"
"3","2, 3, 4, 5, 6, 7, 8","500","0.025","TRUE","fixed_equal","t","equal","FALSE","MLE","FALSE"
"4","2, 3, 4, 5, 6, 7, 8","500","0.025","TRUE","fixed_0.5","t","equal","FALSE","MLE","FALSE"
"5","2, 3, 4, 5, 6, 7, 8","500","0.025","TRUE","random","t","equal","FALSE","marg_est","FALSE"
"6","2, 3, 4, 5, 6, 7, 8","500","0.025","TRUE","random","z","equal","FALSE","MLE","FALSE"
"7","2, 3, 4, 5, 6, 7, 8","500","0.025","TRUE","random","t","equal","TRUE","MLE","FALSE"
"8","2, 3, 4, 5, 6, 7, 8","500","0.025","TRUE","random","t","random","FALSE","MLE","FALSE"
"9","2, 3, 4, 5, 6, 7, 8","500","0.01","TRUE","random","t","equal","FALSE","MLE","FALSE"
"10","2, 3, 4, 5, 6, 7, 8","500","0.025","TRUE","random","t","equal","FALSE","MLE","TRUE"
"11","3","25, 50, 100, 150, 200, 500","0.025","TRUE","random","t","equal","FALSE","MLE","FALSE"
